id_user,win,lose,dwell_time_win,dwell_time_lose,matchup,win_font,win_grayscale,win_stroke_contrast,win_weight,win_avg_ascender_length,win_avg_descender_length,win_avg_char_width_lower,win_lower_width_sd,win_lower_char_space,win_lower_x_height,lose_font,lose_grayscale,lose_stroke_contrast,lose_weight,lose_avg_ascender_length,lose_avg_descender_length,lose_avg_char_width_lower,lose_lower_width_sd,lose_lower_char_space,lose_lower_x_height
3162,arial,georgia,4231.345000021975,2905.990000013844,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3165,arial,georgia,7870.66000001505,3939.275000011549,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3172,arial,georgia,17920.0,12133.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3175,arial,georgia,13814.0,8430.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3335,arial,georgia,12421.770000364631,8705.815000226721,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3354,arial,georgia,906.910000000149,474.945000000298,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3356,arial,georgia,2274.6050000132527,1076.790000020992,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3370,arial,georgia,3084.955000085756,1540.5399999581275,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3374,arial,georgia,1405.8200000000652,813.8099999999395,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3380,arial,georgia,16549.0,10481.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3393,arial,georgia,4593.945000000531,2914.0050000004703,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3415,arial,georgia,4863.0,3086.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3429,arial,georgia,18180.795000167564,11665.430000051856,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3443,arial,georgia,5084.895000007236,3785.120000015013,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3451,arial,georgia,6198.0,4057.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3468,arial,georgia,3777.415000000503,2292.7400000008056,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3475,arial,georgia,1108.0300000030547,657.2350000021979,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3491,arial,georgia,1025.4449999993085,537.254999999248,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3493,arial,georgia,4368.059999996796,2600.949999996461,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3494,arial,georgia,791.9750000000931,407.9000000020024,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3510,arial,georgia,9221.864999999874,4438.689999999944,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3520,arial,georgia,9620.190000045111,7354.560000007041,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3528,arial,georgia,2546.554999891669,1305.0099997781217,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3533,arial,georgia,9188.999999896623,4554.000000003725,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3548,arial,georgia,527.5950000032317,279.630000000936,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3552,arial,georgia,5287.76999999542,2365.599999997416,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3553,arial,georgia,1565.0600000008126,621.1100000000442,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3588,arial,georgia,6634.6449999837205,4253.895000001648,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3593,arial,georgia,13924.0,8245.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3596,arial,georgia,11540.4449999989,10811.829999999143,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3611,arial,georgia,901.7450000027892,412.41000000434,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3625,arial,georgia,2490.0,1557.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3632,arial,georgia,1396.0000000002328,928.0000000001164,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3645,arial,georgia,20443.830000004036,18331.78000000061,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3646,arial,georgia,1275.934999997844,611.9550000003073,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3648,arial,georgia,1648.0000000010475,1272.000000000815,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3650,arial,georgia,11603.75999999803,7538.999999996973,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3652,arial,georgia,703.6850000004051,381.0900000025868,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3657,arial,georgia,26115.0,19473.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3673,arial,georgia,8988.29999999702,6366.39999999688,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3676,arial,georgia,6648.000000000116,4560.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3685,arial,georgia,1322.8000001981854,612.1050002984703,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3696,arial,georgia,1814.780000015162,1438.8350000081118,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3707,arial,georgia,24909.6349994652,21740.950000006706,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3731,arial,georgia,5688.999999999942,4558.999999999942,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3732,arial,georgia,8965.254999930039,4273.694999981672,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3735,arial,georgia,27301.145000001416,20677.0000000014,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3741,arial,georgia,4896.999999880791,3183.9999998919666,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3755,arial,georgia,10542.0,5135.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3756,arial,georgia,1557.3149999980817,1013.3599999970756,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3767,arial,georgia,4163.294999977574,2890.399999975227,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3768,arial,georgia,3644.529999999562,1268.944999999716,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3776,arial,georgia,13773.999999742957,8719.99999973923,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3780,arial,georgia,1604.0000000066357,812.0000000053551,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3791,arial,georgia,27451.0,22469.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3804,arial,georgia,34870.98000012338,17198.92500003334,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3823,arial,georgia,51475.92499999132,48883.48499999836,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3833,arial,georgia,1608.1949999970384,408.1899999983143,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3842,arial,georgia,13164.070000173524,8169.875000137836,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3846,arial,georgia,4548.329999990528,2372.899999994843,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3851,arial,georgia,44649.06500047073,29469.96500063688,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3853,arial,georgia,6758.414999975357,4551.364999977872,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3855,arial,georgia,95039.29999982752,87994.05499984231,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3861,arial,georgia,4389.744999992661,3365.8799999970943,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3870,arial,georgia,2781.0,1574.0,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
3877,arial,georgia,3853.9999999995343,1757.9999999997672,"arial, georgia",arial,0.4219745222929936,0.075,0.194,3.251,3.414,6.643,2.27,1.2,8.297,georgia,0.4580867850098619,0.235,0.215,4.497,3.682,7.543,2.077,0.418,7.703
