pre_age,pre_language_native,pre_language_other,pre_education_level,pre_reading_speed,pre_id_user,post_do_you_feel_changing_font_attributes_such_as_size_character_spacing_word_spacing_etc_could_help_you_read_faster_,post_would_you_like_an_application_to_change_font_attributes_such_as_size_character_spacing_word_spacing_etc_for_reading_if_you_had_the_choice_,pre_reading_frequency,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.maybe,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.no,post_would_you_use_your_fastest_word_spacing_for_reading_if_you_had_a_choice_.yes
24,1,1,4,7,3628,7,7,8,0,0,1
36,1,0,4,4,3630,7,7,6,0,0,1
34,0,0,5,5,3625,7,7,4,0,0,1
30,0,0,4,4,3643,5,4,8,1,0,0
20,1,0,1,7,3653,7,6,5,0,0,1
49,1,0,1,3,3661,5,4,3,1,0,0
24,1,1,5,7,3656,7,6,8,0,0,1
24,1,1,5,7,3662,6,7,8,0,0,1
41,1,0,4,5,3664,5,4,4,0,0,1
24,1,1,5,6,3658,7,6,8,0,0,1
45,0,1,4,6,3666,5,4,6,0,0,1
32,1,0,3,5,3669,7,7,3,0,0,1
35,1,1,5,7,3671,6,6,6,0,0,1
33,0,0,1,4,3673,6,7,5,1,0,0
23,1,0,1,4,3676,7,4,3,0,0,1
38,1,0,5,6,3681,5,5,8,0,0,1
32,1,0,5,6,3685,3,4,4,0,1,0
50,1,0,4,7,3682,6,7,8,0,0,1
24,1,1,5,7,3688,7,7,8,0,0,1
23,1,0,1,4,3683,6,7,7,0,0,1
32,1,0,4,6,3690,5,5,7,0,0,1
24,1,1,5,7,3689,7,6,8,0,0,1
29,1,0,4,6,3697,6,5,5,0,0,1
29,1,0,5,7,3695,7,6,8,0,0,1
32,1,0,5,7,3696,7,6,8,0,0,1
26,1,0,4,6,3704,5,6,7,0,0,1
26,0,0,4,5,3705,5,5,7,0,0,1
32,1,0,5,6,3706,6,7,8,0,0,1
25,1,1,4,5,3707,7,5,6,0,1,0
59,1,0,5,6,3713,6,7,5,0,0,1
34,1,0,4,6,3712,5,3,5,1,0,0
32,1,0,4,5,3745,6,6,4,0,0,1
42,1,0,5,6,3748,6,6,8,0,0,1
55,1,0,4,5,3749,6,6,8,0,0,1
38,1,0,5,6,3732,5,6,6,0,0,1
26,1,0,1,5,3744,7,3,7,1,0,0
50,1,0,3,6,3761,6,6,8,0,0,1
31,0,1,2,7,3740,7,7,7,0,0,1
36,1,0,4,6,3762,7,6,5,0,0,1
51,1,0,4,4,3738,6,4,7,0,0,1
38,1,0,4,6,3774,7,6,8,0,0,1
32,1,0,4,6,3769,7,6,7,0,0,1
44,1,0,1,4,3747,4,1,0,0,1,0
35,1,0,4,3,3771,7,7,6,0,0,1
24,1,0,4,5,3746,7,6,6,0,0,1
25,1,0,4,7,3756,7,6,4,0,0,1
45,1,0,4,5,3775,6,4,6,1,0,0
49,0,1,5,7,3768,6,7,6,1,0,0
30,1,0,5,6,3741,4,5,5,0,1,0
33,1,1,5,5,3735,7,6,8,1,0,0
41,1,0,4,7,3795,7,6,7,0,0,1
28,0,0,4,6,3791,7,7,8,0,1,0
35,1,0,4,4,3799,5,6,8,0,0,1
48,1,0,4,5,3727,7,7,7,0,0,1
30,1,0,5,7,3767,4,5,8,0,1,0
32,1,0,4,5,3776,6,6,6,0,0,1
37,0,0,5,5,3803,4,4,8,1,0,0
41,1,0,3,7,3804,7,7,7,0,0,1
50,1,1,2,6,3808,7,4,8,1,0,0
40,1,1,4,6,3817,6,7,5,0,0,1
33,1,0,4,6,3778,6,6,7,1,0,0
21,1,1,2,5,3823,7,7,7,0,0,1
25,1,0,4,5,3827,7,7,6,0,0,1
33,1,0,3,7,3844,6,5,3,0,0,1
25,0,0,5,3,3838,7,7,5,0,1,0
39,1,0,2,5,3842,5,6,5,0,0,1
36,1,1,5,7,3846,5,7,8,0,0,1
25,1,0,4,7,3845,7,7,4,0,0,1
35,1,0,3,5,3850,5,6,4,1,0,0
25,1,1,4,6,3851,4,6,5,0,0,1
29,0,1,4,6,505,6,6,5,0,0,1
25,1,0,4,7,3835,7,6,4,0,0,1
62,1,0,1,2,3856,6,4,8,1,0,0
25,1,0,4,6,3857,6,5,7,0,0,1
29,1,0,1,5,3860,5,1,7,1,0,0
33,1,0,4,6,3864,7,7,6,0,0,1
33,1,0,1,6,3853,5,6,7,0,0,1
22,1,1,3,6,3861,7,7,7,0,0,1
40,1,0,4,6,3867,4,5,2,1,0,0
47,1,0,4,5,3855,7,7,8,0,0,1
30,1,1,4,5,3872,6,6,8,1,0,0
29,1,1,4,4,3876,5,7,5,0,1,0
47,1,1,4,6,3878,3,6,4,0,0,1
31,1,0,4,6,3880,5,6,7,0,0,1
28,0,1,4,6,3881,6,6,5,0,0,1
25,0,1,4,6,3888,6,5,8,0,0,1
28,0,1,4,6,3884,5,6,5,0,0,1
36,1,0,4,5,3893,6,7,3,0,0,1
38,1,0,2,7,3901,7,7,4,1,0,0
23,1,0,3,6,3905,6,5,6,1,0,0
39,1,0,1,5,3904,5,7,0,0,0,1
30,1,0,5,7,3906,7,6,6,0,0,1
31,1,1,5,6,3903,7,5,8,0,0,1
29,1,0,4,6,3910,7,6,8,0,0,1
63,1,0,2,5,3909,6,6,8,0,0,1
25,1,0,4,7,3911,7,6,3,0,0,1
27,1,1,5,5,3916,5,6,5,0,1,0
25,1,0,4,7,3918,5,7,7,1,0,0
