in_users?,in_wpm?,id_user,font,id_passage,font fam,score,pass fam,pass int
0,1,58,times,28,3,1,1,2
1,0,63,times,19,3,1,1,3
1,1,63,times,23,3,1,1,2
1,1,63,times,26,3,1,2,2
1,1,63,times,27,3,0.5,1,2
0,1,64,times,23,2,1,1,3
0,0,65,times,20,3,1,5,5
0,0,65,times,26,3,1,2,3
1,0,66,times,19,2,1,1,4
1,1,66,times,28,2,1,1,4
0,1,68,times,19,3,1,1,2
0,0,69,times,21,3,1,3,4
0,0,69,times,23,3,1,1,2
1,0,70,times,27,3,1,1,2
1,1,73,times,27,3,1,1,3
1,1,81,times,26,2,1,1,2
1,1,82,times,21,3,1,2,3
1,2,82,times,22,3,1,3,3
1,2,83,times,19,3,1,1,1
1,2,83,times,22,3,1,3,4
1,2,85,times,20,2,1,2,2
1,2,85,times,28,2,0.5,1,1
1,2,86,times,21,3,1,1,1
1,2,86,times,23,3,1,1,1
1,1,87,times,21,2,1,1,4
1,2,87,times,23,2,1,1,3
1,2,88,times,25,2,1,1,3
1,1,88,times,26,2,1,1,3
1,2,89,times,21,2,1,2,3
1,2,89,times,23,2,1,1,2
0,2,90,times,24,3,1,4,4
0,0,90,times,27,3,1,1,3
0,0,91,times,22,2,1,2,3
0,0,91,times,25,2,0.5,3,2
0,0,92,times,24,3,0,4,4
0,0,92,times,28,3,0,4,4
1,0,93,times,22,3,1,2,4
1,2,93,times,23,3,1,1,3
1,2,94,times,22,2,1,5,4
1,2,94,times,23,2,0.5,1,3
1,2,95,times,28,3,1,1,4
1,2,96,times,21,3,0.5,3,4
1,2,96,times,25,3,1,3,5
1,2,97,times,20,2,1,3,4
1,2,97,times,22,2,1,4,4
1,2,100,times,27,2,0.5,1,2
1,2,100,times,28,2,1,1,4
1,2,101,times,20,2,1,2,3
1,2,101,times,27,2,1,1,2
1,2,102,times,22,3,1,3,5
1,2,102,times,24,3,1,2,5
0,2,103,times,23,3,0.5,1,3
0,0,103,times,24,3,1,2,2
0,0,105,times,24,2,0.5,1,1
0,0,105,times,26,2,1,1,2
1,0,106,times,22,3,1,3,4
1,2,106,times,24,3,0.5,2,3
1,2,107,times,20,2,1,1,5
1,2,107,times,25,2,0,1,2
0,2,108,times,19,1,1,1,2
0,0,108,times,23,1,0.5,1,2
0,0,108,times,26,1,1,1,2
1,0,110,times,26,2,1,1,3
1,2,110,times,27,2,0.5,1,2
1,2,111,times,21,2,1,1,3
1,2,111,times,23,2,1,1,4
1,2,112,times,19,3,1,3,3
1,0,112,times,22,3,1,4,4
1,1,113,times,21,3,1,1,3
1,2,113,times,25,3,1,1,4
1,2,114,times,24,3,1,1,1
1,2,114,times,28,3,1,1,2
1,2,115,times,21,2,1,1,3
1,2,115,times,25,2,1,1,2
1,2,117,times,25,2,0.5,3,4
1,2,117,times,27,2,0.5,3,4
1,2,118,times,20,3,1,2,3
1,2,118,times,24,3,0.5,1,1
1,2,119,times,21,2,1,2,4
1,2,120,times,23,2,1,1,3
1,2,120,times,28,2,1,1,3
1,2,121,times,19,3,0.5,1,1
