id_user,font,elo,font_rank
2,arial,1469.362674543619,5
2971,arial,1495.1343662468857,4
2974,arial,1476.6776360208369,5
2975,arial,1480.732297686561,4
2972,arial,1465.162037069922,5
2978,arial,1439.7051555508806,5
2982,arial,1571.5705632283177,2
2987,arial,1479.3629400558452,4
2994,arial,1524.9050529256351,4
2996,arial,1606.6266641221923,2
2999,arial,1509.2618483705066,4
3000,arial,1463.9572438325606,4
3001,arial,1515.2937660421396,4
3004,arial,1463.7737534509345,5
3005,arial,1477.5700039289131,4
3006,arial,1630.3020963472288,1
612,arial,1636.5018957350844,2
3009,arial,1537.4123470610411,4
3010,arial,1432.1638125433403,6
3019,arial,1585.2522537496263,1
3024,arial,1617.329029049126,2
3027,arial,1580.0110613377444,2
3022,arial,1618.2535373583303,2
3021,arial,1549.0191892071612,3
3026,arial,1552.0236451537417,3
3033,arial,1586.390940409031,2
3045,arial,1685.4440575414203,1
3038,arial,1548.4420984136984,1
3043,arial,1529.5255141265764,4
3036,arial,1528.0824084281358,5
3049,arial,1487.6667666207481,5
3041,arial,1453.8663592602684,6
3031,arial,1414.813256425206,5
3046,arial,1391.6822376539403,7
3032,arial,1534.0122300430457,3
3054,arial,1420.755422156308,7
3051,arial,1501.0654587518493,6
3070,arial,1495.7250802436972,4
3068,arial,1503.2335635510783,5
3062,arial,1553.9239494155127,3
3071,arial,1549.4782875515812,3
3077,arial,1531.950142246193,4
3067,arial,1580.385003454492,3
3048,arial,1504.413030205608,4
3079,arial,1561.8698481391928,3
3039,arial,1642.8485857007322,1
3085,arial,1677.6821880163775,2
3081,arial,1648.9433775893078,1
3086,arial,1562.4775904220242,3
3087,arial,1503.2499836800837,5
3059,arial,1433.0308008086479,5
3091,arial,1551.2169620011114,3
3063,arial,1498.4119341479063,5
3099,arial,1495.9445190763738,4
3100,arial,1439.0475569146568,6
3093,arial,1387.764713142383,7
3094,arial,1440.8376876945724,7
3065,arial,1472.1644546605453,6
3107,arial,1456.661414693502,6
3095,arial,1559.7875717062077,2
3082,arial,1509.104044269044,4
3083,arial,1434.9492974286109,7
3108,arial,1404.7306679635258,7
3109,arial,1489.7443184694657,5
3112,arial,1530.308546980192,3
3104,arial,1556.0245389297345,2
3116,arial,1563.0615123791677,2
3119,arial,1586.0743062136794,2
3121,arial,1595.6525719182475,2
3118,arial,1550.51808316364,3
3122,arial,1534.8490118021996,3
3117,arial,1444.7248423373564,6
3125,arial,1491.231280875136,6
3124,arial,1423.9288877432832,7
3096,arial,1427.6527906214426,6
3127,arial,1539.1170454938624,4
3128,arial,1473.8532612079925,5
3129,arial,1451.2415961082725,6
3131,arial,1427.2337126185923,6
3133,arial,1432.0952856231345,5
3135,arial,1527.0319497010248,4
3138,arial,1538.3340374355241,4
3140,arial,1515.998296508534,4
3142,arial,1419.2772971691145,8
3144,arial,1473.9543557016395,5
3150,arial,1448.0813857457779,4
3155,arial,1394.7162194161845,6
3158,arial,1388.9362828217163,8
3147,arial,1401.2259257036733,8
3160,arial,1406.5385584807784,7
3162,arial,1407.367791942307,7
3163,arial,1425.4548677694693,8
3164,arial,1443.2929941937953,7
3166,arial,1500.71529828799,4
3165,arial,1551.142847401768,3
3170,arial,1485.2864106851655,6
637,arial,1558.415111360324,1
3172,arial,1564.0796207861806,2
3173,arial,1530.9334344613776,3
3175,arial,1689.0680549231975,1
3345,arial,1548.6606103723036,2
3335,arial,1593.9628470713967,2
3370,arial,1565.0645602282575,3
3332,arial,1631.2958152334256,1
3397,arial,1537.4943729296206,3
3388,arial,1548.404975985648,4
3346,arial,1593.4903122221144,2
3408,arial,1606.2114957516233,3
3384,arial,1582.0023954832159,3
3415,arial,1609.5100258135194,2
3394,arial,1526.856085735226,4
3379,arial,1606.0372533102018,1
3366,arial,1560.9648334868366,2
3380,arial,1635.8352018558346,1
3393,arial,1575.8315123143148,3
3434,arial,1502.1404164323615,5
3351,arial,1425.6937747677905,7
3424,arial,1470.239288281077,5
3436,arial,1436.2028963532125,6
3400,arial,1412.0178767106513,6
3422,arial,1366.4054286446074,8
3429,arial,1538.4371451398094,2
3437,arial,1495.1876539984387,5
3447,arial,1585.8794266222096,1
3356,arial,1635.5846977382137,2
3377,arial,1666.388124246019,1
3459,arial,1612.2205472194973,1
3451,arial,1642.3185207679376,2
3460,arial,1627.9802675808846,2
3396,arial,1543.718622318831,4
3442,arial,1468.6819802438565,5
3343,arial,1413.8259584017621,7
3463,arial,1517.9242253139437,3
3454,arial,1516.336423324494,4
3445,arial,1527.7675434334105,3
3458,arial,1486.723055388302,4
3439,arial,1443.9911034555264,7
3471,arial,1381.4152334454884,8
3470,arial,1562.5108510402151,2
3468,arial,1558.1495437186745,3
3477,arial,1507.620766277794,5
3421,arial,1458.564987724468,6
3443,arial,1483.8582290057652,5
3362,arial,1492.660671981067,4
3488,arial,1429.100825669784,6
3480,arial,1491.3285263447356,4
3490,arial,1420.8736829837997,8
3446,arial,1420.6330760381054,7
3485,arial,1463.4267253407963,7
3486,arial,1537.2388897626233,3
3491,arial,1496.464853560517,4
3481,arial,1571.0215638097716,2
3489,arial,1531.3390629207167,3
3374,arial,1514.570254796456,3
3504,arial,1464.2995578904654,7
3474,arial,1483.5878732669958,7
3414,arial,1497.9830314012943,5
3475,arial,1462.6078540122887,6
3509,arial,1446.9020106083974,6
3373,arial,1502.7299104564465,5
3508,arial,1444.4404281127004,5
3514,arial,1467.9236821290303,5
3510,arial,1507.2821575798796,4
3515,arial,1594.6850285057185,2
3519,arial,1584.7217021195258,3
3472,arial,1630.9225442883076,1
3494,arial,1631.868667740391,1
3523,arial,1602.8091903879745,1
3464,arial,1582.0268321041872,3
3501,arial,1543.5260666596157,3
3493,arial,1634.5340718338405,1
3520,arial,1580.4781890567078,3
3524,arial,1501.9694418754937,5
3521,arial,1629.2253141865428,1
3478,arial,1494.9110386142788,4
3528,arial,1556.1809485322437,3
3531,arial,1474.2922244140302,5
3527,arial,1518.271972232803,3
3526,arial,1496.0076081058385,4
3506,arial,1455.7981206051077,6
3538,arial,1523.2527050723265,5
3530,arial,1449.383534405136,5
3498,arial,1493.2842757013548,6
3534,arial,1540.2781531691007,2
3354,arial,1538.1969136574203,3
3540,arial,1467.9314805668928,5
3539,arial,1449.09307254991,6
3536,arial,1439.5344021411759,7
3363,arial,1455.1234363865747,7
3543,arial,1435.8371144831438,7
3544,arial,1464.190163116556,5
3547,arial,1568.05505160336,3
3545,arial,1538.1144167763848,4
3541,arial,1476.7609383223837,4
3546,arial,1443.165224878593,6
3548,arial,1525.7615771046105,4
3533,arial,1537.16167099828,3
3499,arial,1609.9973083818584,2
3552,arial,1554.9377919772016,4
3550,arial,1493.9631330623822,4
3553,arial,1476.2287058332838,4
3549,arial,1393.487727265596,8
3561,arial,1420.1691203236037,6
3551,arial,1448.1690366396779,7
3569,arial,1435.6941284269662,7
3513,arial,1419.8598331643584,8
3574,arial,1401.7125146359283,8
3575,arial,1397.690400779448,8
689,arial,1356.1911152670214,8
3582,arial,1362.3236516562322,8
3584,arial,1362.7096655789603,8
3580,arial,1326.4965454415603,8
3588,arial,1483.9195291270412,5
3581,arial,1510.3162674792563,3
3591,arial,1545.4249594721105,3
3590,arial,1454.906619692905,4
3589,arial,1386.6370571622947,7
3593,arial,1427.285420041596,7
3592,arial,1464.2882068173326,6
