,url,font,file_name
141,https://readability-test.org/fonts_spacing_study.html?0?utopia?15.250897px?1pt?1pt?1.5em?480px,utopia,-7153666479498231808
142,https://readability-test.org/fonts_spacing_study.html?-1?helvetica?14.936339px?1pt?1pt?1.5em?480px,helvetica,965469590063585319
143,https://readability-test.org/fonts_spacing_study.html?4?montserrat?13.688213px?1pt?1pt?1.5em?480px,montserrat,1229814493927231953
144,https://readability-test.org/fonts_spacing_study.html?7?franklin_gothic?16px?1pt?1pt?1.5em?480px,franklin_gothic,5433547192766751734
145,https://readability-test.org/fonts_spacing_study.html?8?lato?14.910544px?1pt?1pt?1.5em?480px,lato,-4283989342211531184
146,https://readability-test.org/fonts_spacing_study.html?5?garamond?16.418425px?1pt?1pt?1.5em?480px,garamond,-8754115295230261290
147,https://readability-test.org/fonts_spacing_study.html?3?avenir_next?15.045914px?1pt?1pt?1.5em?480px,avenir_next,4007079781204750554
148,https://readability-test.org/fonts_spacing_study.html?5?lato?14.910544px?1pt?1pt?1.5em?480px,lato,-699681483786490521
149,https://readability-test.org/fonts_spacing_study.html?3?franklin_gothic?16px?1pt?1pt?1.5em?480px,franklin_gothic,2173088035441515306
150,https://readability-test.org/fonts_spacing_study.html?2?garamond?16.418425px?1pt?1pt?1.5em?480px,garamond,8602817471054092686
151,https://readability-test.org/fonts_spacing_study.html?1?arial?14.926044px?1pt?1pt?1.5em?480px,arial,6095419011416506810
152,https://readability-test.org/fonts_spacing_study.html?5?poynter_gothic_text?14.845362px?1pt?1pt?1.5em?480px,poynter_gothic_text,-2553399353421333029
153,https://readability-test.org/fonts_spacing_study.html?1?montserrat?13.688213px?1pt?1pt?1.5em?480px,montserrat,2198598051521152316
154,https://readability-test.org/fonts_spacing_study.html?3?noto_sans?14.507869px?1pt?1pt?1.5em?480px,noto_sans,3627251726552802236
155,https://readability-test.org/fonts_spacing_study.html?6?franklin_gothic?16px?1pt?1pt?1.5em?480px,franklin_gothic,2674760268301657598
156,https://readability-test.org/fonts_spacing_study.html?8?poynter_gothic_text?14.845362px?1pt?1pt?1.5em?480px,poynter_gothic_text,2938526516251015684
157,https://readability-test.org/fonts_spacing_study.html?3?oswald?16px?1pt?1pt?1.5em?480px,oswald,7228673147787385547
158,https://readability-test.org/fonts_spacing_study.html?7?oswald?16px?1pt?1pt?1.5em?480px,oswald,-4604681280071292616
159,https://readability-test.org/fonts_spacing_study.html?0?lato?14.910544px?1pt?1pt?1.5em?480px,lato,-7554964639798566584
